Date,State,Town,Longitude,Latitude,Sighting
1/1/2022,TX,Laguna Vista,-97.3,26.1,1
1/1/2022,GA,St Marys,-81.6,30.8,1
1/1/2022,LA,Lafayette,-92,30.2,2
1/1/2022,TX,Bridge City,-93.8,30,1
1/1/2022,TX,San Antonio,-98.6,29.5,6
1/1/2022,FL,Orlando,-81.4,28.6,1
1/1/2022,FL,Orange Park,-81.8,30.1,1
1/1/2022,FL,Callahan,-81.8,30.6,1
1/1/2022,FL,Gulf Breeze,-87.2,30.4,1
1/1/2022,FL,Pensacola,-87.2,30.5,1
1/1/2022,TX,Katy,-95.7,29.8,1
1/1/2022,GA,Savannah,-81.1,32,2
1/1/2022,TX,Fort Worth,-97.2,32.8,3
1/1/2022,FL,Wellington,-80.3,26.7,2
1/1/2022,FL,Jensen Beach,-80.2,27.2,1
1/1/2022,FL,Orlando,-81.2,28.5,2
1/1/2022,TX,Helotes,-98.7,29.6,3
1/1/2022,TX,Katy,-95.7,29.8,3
1/1/2022,TX,Rockport,-97.1,28,2
1/1/2022,TX,Dallas,-96.8,32.7,2
1/1/2022,LA,Bush,-90,30.6,1
1/1/2022,SC,Mt Pleasant,-79.8,32.8,1
1/1/2022,MS,Natchez,-91.4,31.6,1
1/1/2022,FL,Middleburg,-81.9,30.1,1
1/1/2022,TX,Houston,-95.5,29.7,1
1/1/2022,GA,Wilmington Island,-81,32,1
1/1/2022,TX,Houston,-95.5,29.8,1
1/1/2022,FL,Jacksonville,-81.6,30.3,1
1/1/2022,FL,Melbourne,-80.6,28.1,1
1/1/2022,TX,Brownsville,-97.5,26,4
1/1/2022,AL,Bay Minette,-87.8,30.9,2
1/1/2022,FL,Micanopy,-82.3,29.6,1
1/1/2022,FL,Callahan,-81.9,30.6,2
1/1/2022,LA,Slidell,-89.8,30.3,1
1/1/2022,FL,Jacksonville,-81.6,30.2,3
1/1/2022,LA,Lafayette,-92,30.2,2
1/1/2022,CA,El Segundo,-118.4,33.9,6
1/1/2022,TX,Plano,-96.7,33,1
1/1/2022,TX,Magnolia,-95.8,30.2,1
1/1/2022,TX,Cypress,-95.7,30,3
1/1/2022,LA,Lafayette,-92.1,30.2,3
1/1/2022,TX,Rockport,-97,28,1
1/1/2022,FL,Miramar Beach,-86.3,30.4,2
1/1/2022,TX,Dallas,-96.7,32.8,1
1/1/2022,FL,Tampa,-82.6,28,2
1/1/2022,TX,Converse,-98.3,29.5,1
1/1/2022,TX,San Antonio,-98.4,29.7,5
1/1/2022,LA,New Iberia,-91.8,30,3
1/1/2022,TX,San Antonio,-98.5,29.5,2
1/1/2022,FL,Valrico,-82.3,27.9,2
1/1/2022,TX,Houston,-95.6,30,1
1/1/2022,FL,The Villages,-82,28.9,2
1/1/2022,TX,San Antonio,-98.5,29.6,1
1/1/2022,TX,League City,-95,29.5,2
1/1/2022,FL,St. Augustine,-81.3,29.9,1
1/1/2022,FL,Naples,-81.8,26.1,6
1/1/2022,FL,Sunrise,-80.3,26.2,2
1/1/2022,TX,Dickinson,-95.1,29.5,2
1/1/2022,TX,Katy,-95.8,29.8,1
1/1/2022,TX,Pasadena,-95.2,29.7,10
1/1/2022,GA,Albany,-84.4,31.5,30
1/1/2022,TX,Dripping Springs,-98.1,30.3,20
1/1/2022,FL,St. Augustine,-81.3,29.9,3
1/1/2022,TX,Angleton,-95.7,29.3,1
1/1/2022,TX,Bellaire,-95.5,29.7,2
1/1/2022,FL,Avon Park,-81.4,27.5,1
1/1/2022,FL,Jacksonville,-81.7,30.3,1
1/1/2022,TX,Spring,-95.5,30.1,3
1/1/2022,TX,Plano,-96.7,33,1
1/1/2022,TX,League City,-95,29.5,2
1/1/2022,GA,Sapelo Island,-81.3,31.4,6
1/2/2022,TX,Booth,-95.7,29.5,1
1/2/2022,LA,Luling,-90.3,29.8,1
1/2/2022,FL,Wellington,-80.2,26.7,1
1/2/2022,SC,Beaufort,-80.7,32.4,1
1/2/2022,SC,Johns Island,-80.1,32.7,1
1/2/2022,FL,Hastings,-81.5,29.7,2
1/2/2022,FL,Palmetto,-82.6,27.5,1
1/2/2022,FL,Fernandina Beach,-81.4,30.6,1
1/2/2022,SC,Beaufort,-80.7,32.4,2
1/2/2022,FL,Sunrise,-80.3,26.2,5
1/2/2022,FL,Naples,-81.8,26.1,1
1/2/2022,TX,Hitchcock,-94.9,29.3,2
1/2/2022,FL,Dunedin,-82.8,28,1
1/2/2022,FL,Merritt Island,-80.7,28.4,1
1/2/2022,FL,Jacksonville,-81.7,30.3,1
1/2/2022,FL,Bradenton,-82.5,27.4,1
1/2/2022,FL,Merritt Island,-80.7,28.4,2
1/2/2022,FL,Groveland,-81.9,28.6,1
1/2/2022,FL,St Pete Beach,-82.8,27.7,5
1/2/2022,FL,Wellington,-80.3,26.7,2
1/2/2022,SC,Charleston,-79.8,32.9,1
1/2/2022,FL,Homestead,-80.5,25.5,3
1/2/2022,FL,Ponte Vedra Beach,-81.4,30.2,1
1/2/2022,FL,Melbourne,-80.6,28.1,1
1/2/2022,FL,Panama City Beach,-85.9,30.2,1
1/2/2022,TX,San Juan,-98.1,26.2,1
1/2/2022,FL,Tallahassee,-84.1,30.4,1
1/2/2022,SC,Charleston,-80,32.8,1
1/2/2022,TX,San Antonio,-98.5,29.5,1
1/2/2022,TX,Austin,-97.7,30.3,1
1/2/2022,FL,Pensacola,-87.2,30.5,2
1/2/2022,FL,Viera,-80.7,28.3,1
1/3/2022,FL,Middleburg,-81.8,30.1,2
1/3/2022,TX,Corpus Christi,-97.4,27.8,1
1/3/2022,FL,Wellington,-80.3,26.7,2
1/3/2022,FL,Melbourne,-80.6,28.1,1
1/3/2022,FL,Ponte Vedra Beach,-81.4,30.2,1
1/3/2022,SC,Charleston,-80.1,32.8,1
1/3/2022,FL,Clearwater,-82.8,28,1
1/3/2022,TX,Temple,-97.3,31.1,2
1/3/2022,TX,San Antonio,-98.6,29.5,1
1/3/2022,LA,Springfield,-90.6,30.4,1
1/3/2022,LA,New Iberia,-91.8,30,2
1/3/2022,JAL,Puerto Vallarta,-105.2,20.6,1
1/4/2022,FL,Tampa,-82.6,28,1
1/4/2022,FL,Tampa,-82.5,28.1,1
1/4/2022,FL,Naples,-81.8,26.1,1
1/4/2022,FL,Leesburg,-81.9,28.8,1
1/4/2022,FL,St. Petersburg,-82.6,27.8,2
1/4/2022,TX,Corpus Christi,-97.4,27.8,1
1/4/2022,TX,Austwell,-96.9,28.3,1
1/4/2022,TX,Angleton,-95.7,29.3,1
1/4/2022,TX,Cypress,-95.7,30,1
1/4/2022,TX,Houston,-95.4,29.8,1
1/4/2022,TX,Nederland,-94,30,1
1/4/2022,TX,Pearland,-95.2,29.6,4
1/4/2022,FL,Palm Beach Gardens,-80.1,26.8,1
1/4/2022,TX,Richmond,-95.8,29.7,1
1/4/2022,FL,New Port Richey,-82.7,28.2,2
1/4/2022,FL,Wellington,-80.3,26.7,2
1/4/2022,FL,Lakewood Park,-80.4,27.5,1
1/4/2022,TX,Orange,-93.7,30.1,1
1/4/2022,FL,St Pete Beach,-82.7,27.7,1
1/4/2022,FL,Ponte Vedra Beach,-81.4,30.2,3
1/4/2022,AZ,Wickenburg,-112.8,34,1
1/4/2022,TX,Katy,-95.8,29.7,1
1/4/2022,LA,Vinton,-93.6,30.2,1
1/4/2022,AL,Fairhope,-87.9,30.6,2
1/5/2022,TX,Nederland,-94,30,3
1/5/2022,TX,Richmond,-95.8,29.7,1
1/5/2022,TX,Corpus Christi,-97.4,27.8,3
1/5/2022,FL,Fort Myers,-81.9,26.5,7
1/5/2022,FL,Tampa,-82.5,27.9,1
1/5/2022,TX,San Antonio,-98.5,29.6,1
1/5/2022,FL,Clermont,-81.7,28.5,1
1/5/2022,FL,Dunedin,-82.8,28,1
1/5/2022,FL,Tampa,-82.5,28.1,2
1/5/2022,FL,Jacksonville,-81.5,30.3,1
1/5/2022,AZ,Florence,-111.4,33,2
1/5/2022,TX,Bolivar Peninsula,-94.6,29.5,1
1/5/2022,FL,St. Petersburg,-82.7,27.7,1
1/5/2022,TX,Houston,-95.4,29.8,2
1/5/2022,TX,Magnolia,-95.8,30.1,2
1/5/2022,FL,Ocala,-82.1,29.2,1
1/5/2022,TX,Tomball,-95.6,30,2
1/5/2022,TX,Richmond,-95.8,29.7,2
1/5/2022,FL,Oviedo,-81.2,28.7,1
1/5/2022,FL,Boynton Beach,-80.1,26.5,1
1/5/2022,FL,Boynton Beach,-80.1,26.5,3
1/5/2022,FL,Cocoa,-80.8,28.5,1
1/5/2022,FL,St Pete Beach,-82.7,27.7,6
1/5/2022,TX,Rockport,-97,28.1,2
1/5/2022,TX,Friendswood,-95.2,29.6,2
1/5/2022,TX,College Station,-96.3,30.6,1
1/5/2022,LA,New Iberia,-91.8,30,1
1/5/2022,TX,Webster,-95.1,29.6,3
1/5/2022,TX,Alvin,-95.2,29.4,2
1/5/2022,TX,Orange,-93.7,30.1,1
1/5/2022,TX,League City,-95.1,29.5,1
1/5/2022,TX,Houston,-95.1,29.6,2
1/5/2022,TX,Orange,-93.7,30.1,1
1/5/2022,FL,St. Petersburg,-82.7,27.8,1
1/5/2022,LA,Lafayette,-92.1,30.2,2
1/5/2022,TX,San Antonio,-98.5,29.5,3
1/5/2022,TX,San Antonio,-98.5,29.5,1
1/5/2022,TX,Webster,-95.1,29.5,1
1/5/2022,TX,Houston,-95.4,29.7,1
1/5/2022,CA,El Segundo,-118.4,33.9,5
1/5/2022,TX,Palacios,-96.2,28.7,5
1/5/2022,FL,Boynton Beach,-80.1,26.5,1
1/5/2022,TX,Port Isabel,-97.5,26.1,1
1/6/2022,TX,Orange,-93.7,30.1,1
1/6/2022,FL,Clearwater,-82.8,28,1
1/6/2022,NC,Trent Woods,-77.1,35.1,1
1/6/2022,FL,Ponte Vedra Beach,-81.4,30.1,1
1/6/2022,TX,Pearland,-95.3,29.6,2
1/6/2022,FL,Eastpoint,-84.9,29.7,1
1/6/2022,FL,Boynton Beach,-80.1,26.5,1
1/6/2022,FL,Naples,-81.8,26.1,2
1/6/2022,AL,Elsanor,-87.6,30.5,1
1/6/2022,FL,Ocala,-82.1,29.1,2
1/6/2022,FL,Ocklawaha,-81.9,29,2
1/6/2022,AZ,Green Valley,-111,31.8,1
1/6/2022,TX,Wallisville,-94.8,29.8,3
1/6/2022,TX,Katy,-95.8,29.7,2
1/6/2022,FL,St George Island,-84.8,29.7,2
1/6/2022,FL,Largo,-82.8,27.9,1
1/6/2022,TX,Webster,-95.1,29.6,3
1/6/2022,LA,Lafayette,-92.1,30.2,1
1/6/2022,FL,St. Augustine,-81.3,29.9,2
1/6/2022,FL,West Palm Beach,-80.3,26.7,3
1/6/2022,FL,Jacksonville,-81.8,30.3,1
1/6/2022,TX,Beaumont,-94.3,29.9,1
1/6/2022,LA,River Ridge,-90.2,30,3
1/6/2022,TX,Dickinson,-95.1,29.5,1
1/6/2022,FL,Fort Myers,-81.9,26.5,4
1/6/2022,TX,Port O'Connor,-96.4,28.5,1
1/6/2022,FL,Venice,-82.3,27.1,1
1/6/2022,NC,Trent Woods,-77.1,35.1,1
1/7/2022,FL,Lady Lake,-81.9,28.9,1
1/7/2022,FL,Weston,-80.4,26.1,1
1/7/2022,FL,Melbourne,-80.6,28.1,1
1/7/2022,FL,Fort Myers,-81.9,26.5,3
1/7/2022,FL,Cape Coral,-82,26.7,1
1/7/2022,FL,Avon Park,-81.5,27.6,1
1/7/2022,FL,Jacksonville,-81.7,30.3,1
1/7/2022,FL,St. Petersburg,-82.7,27.7,4
1/7/2022,FL,St. Augustine,-81.3,29.9,1
1/7/2022,FL,Jacksonville,-81.6,30.2,2
1/7/2022,FL,Wellington,-80.3,26.7,4
1/7/2022,FL,Clearwater,-82.8,28,1
1/7/2022,FL,Yankeetown,-82.7,29,1
1/7/2022,FL,Miami,-80.5,25.6,2
1/7/2022,TX,Houston,-95.4,29.7,1
1/8/2022,FL,Fort Myers,-81.9,26.5,4
1/8/2022,FL,St. Augustine,-81.4,29.8,2
1/8/2022,FL,Eastpoint,-84.9,29.7,1
1/8/2022,AL,Fairhope,-87.9,30.5,1
1/8/2022,TX,Houston,-95.5,29.7,1
1/8/2022,FL,Naples,-81.8,26.2,1
1/8/2022,FL,Pinellas Park,-82.7,27.9,1
1/8/2022,FL,Clearwater,-82.7,28,1
1/8/2022,TX,Rockport,-97.1,28,1
1/8/2022,FL,Osteen,-81.2,28.8,6
1/8/2022,FL,Wellington,-80.3,26.7,2
1/8/2022,FL,Cantonment,-87.3,30.5,1
1/8/2022,FL,St. Petersburg,-82.6,27.8,2
1/8/2022,FL,Deltona,-81.2,28.9,1
1/8/2022,FL,Clearwater,-82.8,28,1
1/8/2022,FL,St. Petersburg,-82.6,27.8,1
1/8/2022,FL,Naples,-81.8,26.2,1
1/8/2022,FL,Palm Beach Gardens,-80.1,26.8,1
1/8/2022,FL,Lutz,-82.5,28.1,1
1/8/2022,FL,Sarasota,-82.5,27.4,1
1/8/2022,FL,Orlando,-81.4,28.5,1
1/8/2022,TX,Katy,-95.8,29.7,1
1/8/2022,FL,Jacksonville,-81.7,30.3,1
1/8/2022,FL,Valrico,-82.3,27.9,2
1/8/2022,FL,Crystal River,-82.6,28.8,1
1/8/2022,FL,Gainesville,-82.3,29.6,1
1/8/2022,FL,Crystal River,-82.6,28.9,1
1/8/2022,TX,Houston,-95.6,30,1
1/8/2022,TX,Edinburg,-98.2,26.3,1
1/9/2022,FL,Wellington,-80.3,26.7,1
1/9/2022,TX,Pearland,-95.3,29.6,1
1/9/2022,FL,Fort Myers,-81.9,26.5,1
1/9/2022,FL,Fort Myers,-81.9,26.5,3
1/9/2022,FL,St George Island,-84.8,29.7,2
1/9/2022,FL,St. Petersburg,-82.6,27.8,1
1/9/2022,FL,St. Petersburg,-82.7,27.7,1
1/9/2022,FL,Seffner,-82.3,28,1
1/9/2022,LA,River Ridge,-90.2,30,1
1/9/2022,GA,Savannah,-81,32,1
1/9/2022,FL,Eastpoint,-84.9,29.7,1
1/9/2022,LA,Lafayette,-92.1,30.1,1
1/9/2022,TX,Houston,-95.4,29.8,2
1/9/2022,FL,Pensacola,-87.2,30.4,1
1/9/2022,AZ,Green Valley,-111,31.9,6
1/9/2022,FL,Fort Myers,-81.9,26.6,3
1/9/2022,TX,Houston,-95.4,29.7,3
1/9/2022,FL,Jacksonville,-81.7,30.3,1
1/9/2022,AL,Bay Minette,-87.9,30.8,1
1/9/2022,FL,Tampa,-82.4,28,1
1/9/2022,LA,Luling,-90.3,29.8,2
1/9/2022,TX,San Juan,-98.1,26.2,1
1/9/2022,TX,Houston,-95.5,29.8,1
1/9/2022,LA,Terrytown,-90,29.9,2
1/9/2022,FL,Orange Park,-81.8,30.1,1
1/9/2022,LA,Crowley,-92.4,30.3,1
1/9/2022,FL,Wellington,-80.3,26.7,3
1/9/2022,LA,Lafayette,-92,30.2,1
1/9/2022,TX,Edinburg,-98.2,26.3,1
1/9/2022,FL,Pensacola,-87.2,30.4,1
1/10/2022,FL,Melbourne,-80.6,28.1,1
1/10/2022,FL,St. Petersburg,-82.7,27.8,1
1/10/2022,FL,Orlando,-81.2,28.5,1
1/10/2022,FL,Blountstown,-85.1,30.4,1
1/10/2022,FL,Titusville,-80.8,28.5,1
1/10/2022,AZ,Tempe,-111.9,33.4,1
1/10/2022,FL,Englewood,-82.3,26.9,2
1/10/2022,FL,Fort Myers,-81.9,26.5,3
1/10/2022,TX,Austin,-97.7,30.4,1
1/10/2022,TX,Webster,-95.1,29.5,1
1/10/2022,FL,St. Petersburg,-82.7,27.7,1
1/10/2022,FL,Panacea,-84.4,29.9,5
1/10/2022,LA,Slidell,-89.8,30.2,2
1/10/2022,FL,Orlando,-81.5,28.5,2
1/10/2022,TX,Missouri City,-95.6,29.6,5
1/10/2022,FL,Titusville,-80.8,28.5,1
1/10/2022,FL,Titusville,-80.8,28.5,1
1/11/2022,FL,Fort Myers,-81.9,26.5,1
1/11/2022,LA,New Orleans,-90.1,29.9,1
1/11/2022,FL,Palm Beach Gardens,-80.1,26.8,1
1/11/2022,TX,Corpus Christi,-97.4,27.8,1
1/11/2022,COA,Saltillo,-101,25.5,1
1/11/2022,FL,St. Petersburg,-82.6,27.8,1
1/11/2022,TX,Cedar Creek,-97.5,30.1,1
1/12/2022,FL,New Port Richey,-82.7,28.2,1
1/12/2022,FL,Fort Myers,-81.9,26.5,2
1/12/2022,TX,Humble,-95.2,30,1
1/12/2022,FL,Bokeelia,-82.1,26.7,4
1/12/2022,LA,River Ridge,-90.2,30,1
1/12/2022,TX,Bolivar Peninsula,-94.6,29.5,2
1/12/2022,FL,St. Petersburg,-82.6,27.8,1
1/12/2022,FL,Wellington,-80.2,26.7,1
1/12/2022,TX,Houston,-95.1,29.6,1
1/12/2022,FL,LaBelle,-81.4,26.8,2
1/12/2022,TX,Montgomery,-95.7,30.4,4
1/12/2022,TX,Rockport,-97,28.1,2
1/12/2022,FL,St. Petersburg,-82.7,27.7,4
1/12/2022,TX,Houston,-95.4,29.7,2
1/12/2022,FL,St. Augustine,-81.3,29.8,1
1/12/2022,TX,Austin,-97.8,30.3,3
1/12/2022,FL,Wellington,-80.3,26.7,1
1/12/2022,FL,Palm Bay,-80.7,28,1
1/12/2022,SC,Hilton Head Island,-80.8,32.2,1
1/12/2022,FL,Tarpon Springs,-82.8,28.2,6
1/12/2022,FL,North Port,-82.2,27.1,3
1/12/2022,FL,Wellington,-80.3,26.7,1
1/12/2022,FL,Pensacola,-87.3,30.2,1
1/13/2022,SC,Hilton Head Island,-80.8,32.2,1
1/13/2022,SC,Beaufort,-80.7,32.4,1
1/13/2022,FL,St George Island,-84.8,29.7,1
1/13/2022,FL,Clearwater,-82.7,28,1
1/13/2022,LA,Lafayette,-92.1,30.2,1
1/13/2022,TX,San Antonio,-98.5,29.5,1
1/13/2022,LA,Lafayette,-92.1,30.2,1
1/13/2022,TX,Humble,-95.2,30,1
1/13/2022,TX,Tomball,-95.6,30,1
1/13/2022,TX,Houston,-95.4,29.8,2
1/13/2022,TX,Houston,-95.4,29.7,1
1/13/2022,TX,Corpus Christi,-97.4,27.8,3
1/13/2022,TX,Katy,-95.8,29.7,3
1/13/2022,LA,Gretna,-90,29.9,1
1/13/2022,FL,Wellington,-80.3,26.7,4
1/13/2022,LA,Youngsville,-92,30.1,1
1/13/2022,LA,Thibodaux,-90.8,29.8,1
1/13/2022,TX,Sugar Land,-95.6,29.6,2
1/13/2022,TX,San Antonio,-98.5,29.4,2
1/13/2022,FL,St. Petersburg,-82.7,27.8,10
1/13/2022,TX,San Antonio,-98.4,29.5,1
1/13/2022,AZ,Green Valley,-111,31.9,3
1/13/2022,LA,Luling,-90.4,29.9,1
1/13/2022,FL,Ponte Vedra Beach,-81.4,30.2,1
1/13/2022,TX,Corpus Christi,-97.4,27.8,2
1/13/2022,GA,Albany,-84.4,31.5,25
1/13/2022,FL,Cutler Bay,-80.3,25.6,1
1/13/2022,TX,Port O'Connor,-96.4,28.5,1
1/13/2022,FL,Melbourne,-80.6,28.1,2
1/13/2022,TX,Houston,-95.1,29.6,1
1/13/2022,FL,Englewood,-82.4,27,2
1/13/2022,TX,San Juan,-98.1,26.2,1
1/13/2022,TX,San Antonio,-98.5,29.4,3
1/13/2022,LA,Thibodaux,-90.8,29.8,1
1/13/2022,TX,Edinburg,-98.2,26.3,2
1/13/2022,FL,Cape Coral,-82,26.6,2
1/14/2022,FL,Boynton Beach,-80.1,26.5,1
1/14/2022,FL,St. Petersburg,-82.7,27.8,5
1/14/2022,FL,Jacksonville,-81.6,30.1,2
1/14/2022,FL,Temple Terrace,-82.4,28,1
1/14/2022,TX,Cypress,-95.7,29.9,2
1/14/2022,LA,Baton Rouge,-91.1,30.4,1
1/14/2022,FL,Orange Park,-81.8,30.2,1
1/14/2022,FL,Boynton Beach,-80.1,26.5,1
1/14/2022,FL,Fort Myers,-81.9,26.5,6
1/14/2022,TX,Allen,-96.6,33.1,1
1/14/2022,CA,Rancho Palos Verdes,-118.3,33.8,1
1/14/2022,TX,Houston,-95.4,29.8,2
1/14/2022,LA,Lafayette,-92.1,30.2,1
1/14/2022,LA,Baton Rouge,-91.2,30.4,1
1/14/2022,TX,Martindale,-97.8,29.8,3
1/14/2022,TX,Edinburg,-98.2,26.3,1
1/14/2022,LA,Lake Charles,-93.2,30.2,1
1/14/2022,TX,Houston,-95.1,29.6,6
1/14/2022,FL,Longwood,-81.3,28.7,7
1/14/2022,TX,Houston,-95.4,29.7,1
1/15/2022,FL,Coral Springs,-80.3,26.3,1
1/15/2022,FL,Gulf Breeze,-87.1,30.4,1
1/15/2022,FL,St George Island,-84.8,29.7,1
1/15/2022,FL,Orlando,-81.2,28.6,1
1/15/2022,FL,Jacksonville,-81.4,30.3,1
1/15/2022,FL,St. Petersburg,-82.7,27.8,2
1/15/2022,TX,Port Isabel,-97.5,26.1,1
1/15/2022,CA,Hermosa Beach,-118.4,33.9,150
1/15/2022,FL,Boynton Beach,-80.1,26.5,1
1/15/2022,CA,Mountain View,-122.1,37.4,11
1/15/2022,AZ,Phoenix,-112,33.3,1
1/15/2022,FL,Melbourne,-80.6,28.1,1
1/15/2022,FL,Lady Lake,-81.9,28.9,4
1/15/2022,FL,Palm Beach Gardens,-80.1,26.8,5
1/15/2022,TX,League City,-95,29.5,1
1/15/2022,LA,Lafayette,-92,30.2,1
1/15/2022,TX,Houston,-95.4,29.7,1
1/15/2022,FL,Jacksonville,-81.6,30.3,1
1/15/2022,FL,Venice,-82.4,27.1,2
1/16/2022,TX,Beaumont,-94.3,29.9,1
1/16/2022,TX,San Antonio,-98.5,29.4,4
1/16/2022,CA,Poway,-117,33,1
1/16/2022,FL,Clearwater,-82.8,28,1
1/16/2022,TX,Houston,-95.4,29.7,1
1/16/2022,CA,Poway,-117,33,1
1/17/2022,TX,Corpus Christi,-97.4,27.8,1
1/17/2022,FL,Melbourne,-80.6,28.1,1
1/17/2022,TX,Houston,-95.7,29.7,1
1/17/2022,FL,Melbourne,-80.6,28.1,1
1/17/2022,FL,Palm Beach Gardens,-80.1,26.8,2
1/17/2022,TX,League City,-95.1,29.5,1
1/17/2022,FL,Sarasota,-82.5,27.3,1
1/17/2022,TX,Damon,-95.6,29.4,1
1/17/2022,LA,Gretna,-90,29.9,1
1/17/2022,TX,Houston,-95.4,29.7,1
1/17/2022,TX,Houston,-95.4,29.8,1
1/17/2022,TX,Edinburg,-98.2,26.3,2
1/17/2022,TX,Houston,-95.7,29.7,1
1/18/2022,TX,Port Aransas,-97.1,27.8,1
1/18/2022,FL,Panama City Beach,-85.9,30.2,1
1/18/2022,TX,Houston,-95.4,29.8,1
1/18/2022,TX,Victoria,-97,28.8,1
1/18/2022,TX,Houston,-95.4,29.7,1
1/18/2022,FL,Wellington,-80.3,26.7,1
1/18/2022,TX,Edinburg,-98.2,26.3,1
1/18/2022,TX,Mission,-98.3,26.2,1
1/18/2022,FL,Cedar Key,-83,29.2,2
1/18/2022,FL,Palm Beach Gardens,-80.1,26.8,2
1/18/2022,TX,Plano,-96.7,33.1,1
1/19/2022,CA,Palo Alto,-122.1,37.4,1
1/19/2022,MS,Florence,-90.2,32.1,1
1/19/2022,FL,Venice,-82.5,27.1,1
1/19/2022,TX,Tenaha,-94.3,32,1
1/19/2022,FL,Clearwater,-82.7,27.9,1
1/19/2022,TX,Hitchcock,-94.9,29.3,2
1/19/2022,TX,Liberty,-94.8,30,1
1/19/2022,CA,Laguna Niguel,-117.7,33.6,1
1/19/2022,FL,St. Petersburg,-82.6,27.8,1
1/19/2022,TX,League City,-95.1,29.5,1
1/19/2022,FL,Port Richey,-82.7,28.2,2
1/19/2022,TX,Edinburg,-98.2,26.3,1
1/19/2022,FL,Shalimar,-86.6,30.4,1
1/19/2022,FL,St. Petersburg,-82.7,27.7,3
1/19/2022,SC,Mt Pleasant,-79.9,32.8,1
1/19/2022,FL,St George Island,-84.8,29.7,1
1/19/2022,LA,Lake Charles,-93.2,30.2,1
1/19/2022,LA,Lafayette,-92.1,30.1,1
1/19/2022,SC,Charleston,-80,32.7,2
1/19/2022,TX,Corpus Christi,-97.4,27.7,1
1/19/2022,TX,Austin,-97.8,30.3,3
1/19/2022,LA,Lafayette,-92.1,30.2,1
1/19/2022,FL,Bay Pines,-82.8,27.8,1
1/19/2022,LA,Luling,-90.3,29.8,1
1/19/2022,GA,Albany,-84.4,31.5,20
1/19/2022,FL,Englewood,-82.3,26.9,1
1/19/2022,FL,St. Augustine,-81.3,29.8,1
1/19/2022,FL,Englewood,-82.3,26.9,1
1/20/2022,FL,Eastpoint,-84.8,29.7,4
1/20/2022,SC,Beaufort,-80.7,32.4,1
1/20/2022,FL,Kissimmee,-81.4,28.3,1
1/20/2022,FL,Punta Gorda,-82.1,26.9,8
1/20/2022,FL,Bay Pines,-82.8,27.8,1
1/20/2022,FL,Clearwater,-82.8,28,1
1/20/2022,AZ,Green Valley,-111,31.9,1
1/20/2022,SC,Hilton Head Island,-80.8,32.2,2
1/20/2022,AZ,Green Valley,-111,31.9,1
1/20/2022,CA,Rosemead,-118.1,34.1,1
1/20/2022,CA,El Segundo,-118.4,33.9,5
1/20/2022,FL,Palm Beach Gardens,-80.1,26.8,1
1/20/2022,SC,Mt Pleasant,-79.9,32.8,1
1/20/2022,CA,Santa Maria,-120.4,35,1
1/21/2022,FL,Englewood,-82.3,26.9,1
1/21/2022,FL,Wellington,-80.3,26.7,2
1/21/2022,TX,Houston,-95.4,29.8,1
1/21/2022,CA,Huntington Beach,-118,33.7,50
1/21/2022,CA,Los Angeles,-118.2,34.1,1
1/21/2022,FL,Longwood,-81.3,28.7,11
1/22/2022,FL,Melbourne,-80.6,28.1,1
1/22/2022,TX,Bartlett,-97.3,30.8,1
1/22/2022,FL,Wellington,-80.3,26.7,2
1/22/2022,TX,Houston,-95.4,29.8,1
1/22/2022,TX,Houston,-95.3,29.6,1
1/22/2022,CA,Half Moon Bay,-122.4,37.5,1
1/23/2022,LA,Houma,-90.7,29.6,1
1/23/2022,FL,Lady Lake,-81.9,28.9,1
1/23/2022,AZ,Green Valley,-111,31.9,2
1/23/2022,TX,Dallas,-96.8,32.7,1
1/23/2022,FL,St. Petersburg,-82.7,27.8,1
1/23/2022,CA,Culver City,-118.4,34,1
1/23/2022,FL,Cooper City,-80.3,26.1,1
1/23/2022,FL,Cooper City,-80.3,26.1,1
1/24/2022,FL,Coral Springs,-80.3,26.3,1
1/24/2022,AZ,Tempe,-111.9,33.4,1
1/24/2022,CA,Mountain View,-122.1,37.4,8
1/24/2022,CA,Los Angeles,-118.6,34.1,100
1/25/2022,FL,St. Petersburg,-82.7,27.8,1
1/25/2022,CA,Cambria,-121.1,35.6,1
1/25/2022,CA,Cambria,-121.1,35.6,2
1/25/2022,FL,Palm Beach Gardens,-80.1,26.8,1
1/25/2022,FL,Hobe Sound,-80.1,27.1,1
1/25/2022,SC,Hilton Head Island,-80.8,32.1,6
1/25/2022,CA,El Segundo,-118.4,33.9,3
1/26/2022,CA,Los Angeles,-118.3,33.7,2
1/26/2022,FL,Coral Springs,-80.3,26.3,1
1/26/2022,FL,Palm Beach Gardens,-80.1,26.8,1
1/26/2022,FL,Sanibel,-82,26.4,1
1/26/2022,GA,Albany,-84.4,31.5,20
1/26/2022,TX,Corpus Christi,-97.4,27.8,1
1/27/2022,FL,Tampa,-82.4,28,1
1/27/2022,FL,St. Petersburg,-82.7,27.7,1
1/27/2022,TX,Cypress,-95.7,30,1
1/27/2022,FL,Cape Coral,-82,26.6,1
1/27/2022,LA,Metairie,-90.2,30,1
1/27/2022,TX,Fayetteville,-96.7,29.9,1
1/27/2022,AZ,Green Valley,-111,31.9,2
1/27/2022,TX,Tomball,-95.6,30,1
